film_title,customers
ACADEMY DINOSAUR,"BEATRICE ARNOLD, CARL ARTIS, DARREN WINDHAM, DEBRA NELSON, DIANNE SHELTON, DWAYNE OLVERA, FREDDIE DUGGAN, GABRIEL HARDER, GERALDINE PERKINS, HECTOR POINDEXTER, HENRY BILLINGSLEY, JOEL FRANCISCO, MARIE TURNER, MATTIE HOFFMAN, NATHAN RUNYON, NORMAN CURRIER, REBECCA SCOTT, ROBERT BAUGHMAN, SERGIO STANFIELD, SUSAN WILSON, TINA SIMMONS, VIRGIL WOFFORD, WILLIE MARKHAM"
ACE GOLDFINGER,"AMBER DIXON, BRANDON HUEY, JESSIE MILAM, KATHRYN COLEMAN, LUCILLE HOLMES, PENNY NEAL, STACY CUNNINGHAM"
ADAPTATION HOLES,"CASSANDRA WALTERS, DEBORAH WALKER, JOANNE ROBERTSON, MARION SNYDER, MARY SMITH, OLGA JIMENEZ, PEARL GARZA, ROBIN HAYES, ROSE HOWARD, STELLA MORENO, STEVEN CURLEY, TRAVIS ESTEP"
AFFAIR PREJUDICE,"BEVERLY BROOKS, CARMEN OWENS, DANIELLE DANIELS, DEANNA BYRD, ELEANOR HUNT, JANICE WARD, JEFF EAST, JEROME KENYON, JIMMY SCHRADER, JORDAN ARCHULETA, KIMBERLY LEE, MEGAN PALMER, MICHAEL SILVERMAN, MINNIE ROMERO, NATALIE MEYER, NINA SOTO, OSCAR AQUINO, RUBEN GEARY, SUE PETERS, TOMMY COLLAZO, VIVIAN RUIZ, WALLACE SLONE"
AFRICAN EGG,"AMY LOPEZ, BARRY LOVELACE, CASEY MENA, CONNIE WALLACE, CURTIS IRBY, ELAINE STEVENS, GILBERT SLEDGE, JOSHUA MARK, JOYCE EDWARDS, NORA HERRERA, RICARDO MEADOR, SETH HANNON"
AGENT TRUMAN,"ALAN KAHN, ANTHONY SCHWAB, BETTY WHITE, CATHERINE CAMPBELL, CLARENCE GAMEZ, CLINTON BUFORD, CORY MEEHAN, DIANE COLLINS, ELIZABETH BROWN, GINA WILLIAMSON, IDA ANDREWS, JANET PHILLIPS, KRISTIN JOHNSTON, LESLIE SEWARD, MARTHA GONZALEZ, MAURICE CRAWLEY, PERRY SWAFFORD, ROSEMARY SCHMIDT, TERRY GRISSOM, TONYA CHAPMAN, TRACY COLE"
AIRPLANE SIERRA,"ANDREA HENDERSON, CARLA GUTIERREZ, CRAIG MORRELL, DANIEL CABRAL, DEAN SAUER, FRED WHEAT, FREDERICK ISBELL, JAMIE WAUGH, JESSE SCHILLING, MICHELE GRANT, PHYLLIS FOSTER, PRISCILLA LOWE, TERESA ROGERS, VIVIAN RUIZ, WANDA PATTERSON"
AIRPORT POLLOCK,"ALBERT CROUSE, BRUCE SCHWARZ, CAROLE BARNETT, CLARA SHAW, DEBBIE REYES, DIANA ALEXANDER, DUANE TUBBS, EVELYN MORGAN, FRANCIS SIKES, LYNN PAYNE, MIGUEL BETANCOURT, NINA SOTO, PATSY DAVIDSON, RUBEN GEARY, STEPHEN QUALLS, THERESA WATSON, VICTORIA GIBSON, WILLIAM SATTERFIELD"
ALABAMA DEVIL,"DARRELL POWER, EDGAR RHOADS, FRANKLIN TROUTMAN, KRISTIN JOHNSTON, KURT EMMONS, MAUREEN LITTLE, MIRIAM MCKINNEY, RICHARD MCCRARY, RICK MATTOX, STEVE MACKENZIE, TAMMY SANDERS, VERONICA STONE"
ALADDIN CALENDAR,"ADAM GOOCH, BRUCE SCHWARZ, CAROL GARCIA, CLARENCE GAMEZ, DAN PAINE, DORIS REED, DOROTHY TAYLOR, GORDON ALLARD, HERMAN DEVORE, IVAN CROMWELL, JENNIE TERRY, JULIA FLORES, KATIE ELLIOTT, LENA JENSEN, MATHEW BOLIN, PHYLLIS FOSTER, RODNEY MOELLER, SAM MCDUFFIE, SAMUEL MARLOW, STELLA MORENO, SYLVIA ORTIZ, VELMA LUCAS, WAYNE TRUONG"
ALAMO VIDEOTAPE,"ALLAN CORNISH, BARBARA JONES, DENISE KELLY, DUSTIN GILLETTE, GARY COY, GLORIA COOK, GRACE ELLIS, JACK FOUST, JESSIE BANKS, KENNETH GOODEN, KIM CRUZ, LEE HAWKS, LILLIE KIM, LOUIS LEONE, MARILYN ROSS, MARVIN YEE, RALPH MADRIGAL, REGINA BERRY, RUBY WASHINGTON, TED BREAUX, TRACEY BARRETT, VICTORIA GIBSON, VIOLA HANSON"
ALASKA PHANTOM,"AMBER DIXON, ANN EVANS, BERNARD COLBY, BYRON BOX, CAROLE BARNETT, CHRISTINA RAMIREZ, CLIFFORD BOWENS, DIANE COLLINS, ELIZABETH BROWN, ERIN DUNN, JAMIE RICE, JOAN COOPER, JOHNNY TURPIN, JORGE OLIVARES, KELLY TORRES, MARIAN MENDOZA, MELINDA FERNANDEZ, MELVIN ELLINGTON, MICHAEL SILVERMAN, TED BREAUX, TERRANCE ROUSH, TIMOTHY BUNN, TONYA CHAPMAN, WENDY HARRISON"
ALI FOREVER,"ALVIN DELOACH, ARTHUR SIMPKINS, DOROTHY TAYLOR, EVELYN MORGAN, JESSE SCHILLING, MISTY LAMBERT, SUZANNE NICHOLS, TRACY COLE, WESLEY BULL"
ALIEN CENTER,"ALAN KAHN, ANA BRADLEY, ANDY VANHORN, ANTONIO MEEK, BYRON BOX, CARMEN OWENS, CHARLIE BESS, CINDY FISHER, CURTIS IRBY, FRANCES PARKER, HEATHER MORRIS, HEIDI LARSON, JACQUELINE LONG, JEFF EAST, JEROME KENYON, JIM REA, KELLY KNOTT, MARGIE WADE, MARIA MILLER, MICHEAL FORMAN, ROBERTA HARPER, ROGER QUINTANILLA"
